season,champion
2001-2002,Arsenal
2002-2003,Manchester United
2003-2004,Arsenal
2004-2005,Chelsea
2005-2006,Chelsea
2006-2007,Manchester United
2007-2008,Manchester United
2008-2009,Manchester United
2009-2010,Chelsea
2010-2011,Manchester United
2011-2012,Manchester City
2012-2013,Manchester United
2013-2014,Manchester City
