,home_team,home_score,home_scorers,away_team,away_score,away_scorers
0,Blackburn Rovers,3,"['Cole', 'Duff', 'Cole']",Fulham,0,[]
1,Leicester City,2,"['Dickov', 'Piper']",Tottenham Hotspur,1,['Sheringham']
2,Liverpool,5,"['Riise', 'Riise', 'Anelka', 'Smicer', 'Anelka']",Ipswich Town,0,[]
3,West Ham United,2,"['Lomas', 'Pearce']",Bolton Wanderers,1,['Djorkaeff']
4,Sunderland,1,['Phillips'],Derby County,1,['Robinson']
5,Chelsea,1,['Gudjohnsen'],Aston Villa,3,"['Crouch', 'Vassell', 'Dublin']"
6,Manchester United,0,[],Charlton Athletic,0,[]
7,Southampton,3,"['Svensson', 'Beattie', 'Telfer']",Newcastle United,1,['Shearer']
8,Leeds United,1,['Smith'],Middlesboro,0,[]
9,Arsenal,4,"['Bergkamp', 'Henry', 'Henry', 'Jeffers']",Everton,3,"['Carsley', 'Radzinski', 'Watson']"
10,Manchester United,0,[],Arsenal,1,['Wiltord']
11,Liverpool,4,"['Murphy', 'Anelka', 'Hyypia', 'Heskey']",Blackburn Rovers,3,"['Duff', 'Cole', 'Jansen']"
12,Bolton Wanderers,0,[],Arsenal,2,"['Ljungberg', 'Wiltord']"
13,Everton,1,['Chadwick'],Blackburn Rovers,2,"['Jansen', 'Cole']"
14,Ipswich Town,0,[],Manchester United,1,['Nistelrooy']
15,Charlton Athletic,2,"['Euell', 'Lisbie']",Sunderland,2,"['Kilbane', 'Phillips']"
16,Middlesboro,0,[],Chelsea,2,"['Cole', 'Zenden']"
17,Newcastle United,3,"['Shearer', 'Lua-Lua', 'Robert']",West Ham United,1,['Defoe']
18,Aston Villa,2,"['Vassell', 'Vassell']",Southampton,1,['Beattie']
19,Derby County,0,[],Leeds United,1,['Bowyer']
20,Fulham,0,[],Leicester City,0,[]
21,Tottenham Hotspur,1,['Poyet'],Liverpool,0,[]
22,Arsenal,2,"['Ljungberg', 'Kanu']",West Ham United,0,[]
23,Ipswich Town,1,['Bent'],Middlesboro,0,[]
24,Blackburn Rovers,2,"['Gillespie', 'Cole']",Newcastle United,2,"['Shearer', 'Shearer']"
25,Fulham,3,"['Goldbaek', 'Marlet', 'Hayles']",Bolton Wanderers,0,[]
26,Arsenal,2,"['Ljungberg', 'Ljungberg']",Ipswich Town,0,[]
27,Southampton,0,[],Everton,1,['Watson']
28,Middlesboro,1,['Nemeth'],Blackburn Rovers,3,"['Yordi', 'Cole', 'Dunn']"
29,Bolton Wanderers,1,['Holdsworth'],Tottenham Hotspur,1,['Iversen']
30,Leicester City,2,"['Izzet', 'Stevenson']",Aston Villa,2,"['Vassell', 'Hitzlsperger']"
31,West Ham United,3,"['Sinclair', 'Lomas', 'Defoe']",Sunderland,0,[]
32,Leeds United,0,[],Fulham,1,['Malbranque']
33,Liverpool,2,"['Owen', 'Owen']",Derby County,0,[]
34,Newcastle United,3,"['Speed', 'Lua-Lua', 'Shearer']",Charlton Athletic,0,[]
35,Chelsea,0,[],Manchester United,3,"['Scholes', 'Nistelrooy', 'Solskjaer']"
36,Sunderland,0,[],Liverpool,1,['Owen']
37,Charlton Athletic,1,['Rufus'],Southampton,1,['Khalej']
38,Tottenham Hotspur,1,['Sheringham'],West Ham United,1,['Pearce']
39,Derby County,2,"['Christie', 'Morris']",Newcastle United,3,"['Robert', 'Dyer', 'Lua-Lua']"
40,Aston Villa,0,[],Leeds United,1,['Viduka']
41,Everton,2,"['Chadwick', 'Ferguson']",Leicester City,2,"['Deane', 'Deane']"
42,Blackburn Rovers,0,[],Chelsea,0,[]
43,Newcastle United,1,['Dyer'],Fulham,1,['Saha']
44,Middlesboro,2,"['Carbone', 'Ehiogu']",Aston Villa,1,['Angel']
45,Southampton,2,"['Oakley', 'Pahars']",Derby County,0,[]
46,Arsenal,2,"['Ljungberg', 'Lauren']",Tottenham Hotspur,1,['Sheringham']
47,Bolton Wanderers,4,"['Bobic', 'Bobic', 'Djorkaeff', 'Bobic']",Ipswich Town,1,['Clapham']
48,West Ham United,2,"['Canio', 'Kanoute']",Charlton Athletic,0,[]
49,Chelsea,3,"['Hasselbaink', 'Hasselbaink', 'Zola']",Everton,0,[]
50,Leicester City,0,[],Manchester United,1,['Solskjaer']
51,Aston Villa,1,['Crouch'],Newcastle United,1,['Shearer']
52,Blackburn Rovers,2,"['Duff', 'Yordi']",Southampton,0,[]
53,Sunderland,2,"['Reyna', 'Reyna']",Leicester City,1,['Dickov']
54,Tottenham Hotspur,2,"['Iversen', 'Sheringham']",Leeds United,1,['Viduka']
55,Everton,3,"['Pistone', 'Radzinski', 'Chadwick']",Bolton Wanderers,1,"[""N'Gotty""]"
56,Charlton Athletic,0,[],Arsenal,3,"['Henry', 'Ljungberg', 'Henry']"
57,Fulham,0,[],West Ham United,1,['Kanoute']
58,Derby County,0,[],Middlesboro,1,['Mustoe']
59,Ipswich Town,0,[],Chelsea,0,[]
60,Middlesboro,1,['Queudrue'],Tottenham Hotspur,1,['Iversen']
61,Southampton,1,['Delap'],Fulham,1,['Marlet']
62,Chelsea,2,"['Terry', 'Petit']",Derby County,1,['Strupar']
63,Leicester City,2,"['Dickov', 'Dickov']",Blackburn Rovers,1,['Hughes']
64,Liverpool,2,"['Smicer', 'Owen']",Charlton Athletic,0,[]
65,Arsenal,3,"['Vieira', 'Bergkamp', 'Wiltord']",Sunderland,0,[]
66,West Ham United,3,"['Lomas', 'Canio', 'Defoe']",Ipswich Town,1,['Bent']
67,Leeds United,3,"['Viduka', 'Harte', 'Bowyer']",Manchester United,4,"['Scholes', 'Solskjaer', 'Solskjaer', 'Giggs']"
68,Newcastle United,6,"['Shearer', 'Cort', ""O'Brien"", 'Solano', 'Solano', 'Bernard']",Everton,2,"['Ferguson', 'Alexandersson']"
69,Fulham,0,[],Tottenham Hotspur,2,"['Sheringham', 'Poyet']"
70,Liverpool,1,['Smicer'],Chelsea,0,[]
71,Derby County,3,"['Strupar', 'Morris', 'Strupar']",Everton,4,"['Unsworth', 'Stubbs', 'Alexandersson', 'Ferguson']"
72,Leicester City,0,[],Leeds United,2,"['Viduka', 'Fowler']"
73,Manchester United,0,[],Middlesboro,1,['Boksic']
74,Ipswich Town,0,[],Aston Villa,0,[]
75,Sunderland,1,['McAteer'],Southampton,1,['Tessem']
76,Charlton Athletic,1,['Johansson'],Bolton Wanderers,2,"['Djorkaeff', 'Djorkaeff']"
77,Tottenham Hotspur,0,[],Charlton Athletic,1,['Powell']
78,Aston Villa,1,['Dublin'],Arsenal,2,"['Edu', 'Pires']"
79,Leeds United,3,"['Fowler', 'Fowler', 'Kewell']",Blackburn Rovers,1,['Jansen']
80,West Ham United,3,"['Lomas', 'Kanoute', 'Defoe']",Manchester United,5,"['Beckham', 'Butt', 'Scholes', 'Solskjaer', 'Beckham']"
81,Everton,2,"['Unsworth', 'Ferguson']",Fulham,1,['Malbranque']
82,Bolton Wanderers,1,['Gardner'],Derby County,3,"['Christie', 'Ravanelli', 'Higginbotham']"
83,Chelsea,4,"['Gallas', 'Gudjohnsen', 'Forssell', 'Bona']",Sunderland,0,[]
84,Newcastle United,2,"['Robert', 'Shearer']",Ipswich Town,2,"['Bent', 'Bent']"
85,Southampton,2,"['Pahars', 'Pahars']",Leicester City,2,"['Deane', 'Deane']"
86,Middlesboro,1,['Southgate'],Liverpool,2,"['Heskey', 'Riise']"
87,Chelsea,4,"['Hasselbaink', 'Hasselbaink', 'Hasselbaink', 'Lampard']",Tottenham Hotspur,0,[]
88,Blackburn Rovers,2,"['Duff', 'Cole']",Ipswich Town,1,['Stewart']
89,Leicester City,1,['Scowcroft'],Charlton Athletic,1,['Euell']
90,Liverpool,3,"['Murphy', 'Murphy', 'Hamann']",Newcastle United,0,[]
91,Southampton,1,['Svensson'],Middlesboro,1,['Whelan']
92,Manchester United,4,"['Beckham', 'Nistelrooy', 'Beckham', 'Nistelrooy']",Tottenham Hotspur,0,[]
93,Chelsea,3,"['Melchiot', 'Gudjohnsen', 'Forssell']",Fulham,2,"['Saha', 'Saha']"
94,West Ham United,1,['Sinclair'],Everton,0,[]
95,Leeds United,2,"['Fowler', 'Harte']",Ipswich Town,0,[]
96,Blackburn Rovers,3,"['Dunn', 'Duff', 'Cole']",Aston Villa,0,[]
97,Sunderland,1,['McAteer'],Bolton Wanderers,0,[]
98,Arsenal,1,['Pires'],Derby County,0,[]
99,Derby County,2,"['Christie', 'Christie']",Manchester United,2,"['Scholes', 'Veron']"
100,Everton,0,[],Leeds United,0,[]
101,Newcastle United,0,[],Arsenal,2,"['Bergkamp', 'Campbell']"
102,Fulham,0,[],Liverpool,2,"['Anelka', 'Litmanen']"
103,Tottenham Hotspur,2,"['Poyet', 'Ferdinand']",Sunderland,1,['Mboma']
104,Aston Villa,2,"['Angel', 'Vassell']",West Ham United,1,['Canio']
105,Bolton Wanderers,1,['Wallace'],Blackburn Rovers,1,['Jansen']
106,Charlton Athletic,2,"['Euell', 'Euell']",Chelsea,1,['Lampard']
107,Ipswich Town,1,['George'],Southampton,3,"['Delap', 'Ormerod', 'Marsden']"
108,Leeds United,0,[],Charlton Athletic,0,[]
109,Sunderland,0,[],Newcastle United,1,['Dabizas']
110,Leicester City,0,[],Derby County,3,"['Kinkladze', 'Strupar', 'Morris']"
111,Liverpool,1,['Anelka'],Everton,1,['Radzinski']
112,Arsenal,4,"['Lauren', 'Vieira', 'Henry', 'Henry']",Fulham,1,['Marlet']
113,West Ham United,1,['Kanoute'],Middlesboro,0,[]
114,Southampton,0,[],Bolton Wanderers,0,[]
115,Manchester United,1,['Nistelrooy'],Aston Villa,0,[]
116,Middlesboro,2,"['Boksic', 'Nemeth']",Fulham,1,['Marlet']
117,Everton,0,[],Arsenal,1,['Wiltord']
118,Charlton Athletic,0,[],Manchester United,2,"['Solskjaer', 'Solskjaer']"
119,Middlesboro,2,"['Ince', 'Windass']",Leeds United,2,"['Bakke', 'Fowler']"
120,Derby County,0,[],Sunderland,1,['Quinn']
121,Bolton Wanderers,1,['Gardner'],West Ham United,0,[]
122,Fulham,2,"['Hayles', 'Malbranque']",Blackburn Rovers,0,[]
123,Tottenham Hotspur,2,"['Anderton', 'Davies']",Leicester City,1,['Oakes']
124,Aston Villa,1,['Merson'],Chelsea,1,['Lampard']
125,Ipswich Town,0,[],Liverpool,6,"['Xavier', 'Heskey', 'Hyypia', 'Owen', 'Owen', 'Heskey']"
126,Newcastle United,3,"['Robert', 'Shearer', 'Shearer']",Southampton,1,['Pahars']
127,Middlesboro,0,[],Charlton Athletic,0,[]
128,Fulham,0,[],Aston Villa,0,[]
129,Manchester United,4,"['Neville', 'Beckham', 'Nistelrooy', 'Nistelrooy']",Sunderland,1,['Phillips']
130,Derby County,1,['Morris'],Tottenham Hotspur,0,[]
131,Leicester City,2,"['Scowcroft', 'Scowcroft']",Chelsea,3,"['Hasselbaink', 'Zola', 'Hasselbaink']"
132,West Ham United,2,"['Sinclair', 'Kanoute']",Blackburn Rovers,0,[]
133,Arsenal,1,['Wiltord'],Southampton,1,['Tessem']
134,Newcastle United,3,"['Shearer', 'Shearer', 'Bellamy']",Bolton Wanderers,2,"['Gardner', 'Southall']"
135,Everton,1,['Unsworth'],Ipswich Town,2,"['Peralta', 'Holland']"
136,Ipswich Town,1,['Bent'],Fulham,0,[]
137,Aston Villa,0,[],Everton,0,[]
138,Blackburn Rovers,2,"['Jansen', 'Jansen']",Arsenal,3,"['Bergkamp', 'Henry', 'Bergkamp']"
139,Chelsea,2,"['Gudjohnsen', 'Bona']",Leeds United,0,[]
140,Southampton,2,"['Davies', 'Fernandes']",West Ham United,0,[]
141,Liverpool,1,['Heskey'],Leicester City,0,[]
142,Tottenham Hotspur,1,['Iversen'],Newcastle United,3,"['Acuna', 'Shearer', 'Bellamy']"
143,Bolton Wanderers,0,[],Manchester United,4,"['Solskjaer', 'Solskjaer', 'Solskjaer', 'Nistelrooy']"
144,Sunderland,0,[],Middlesboro,1,['Whelan']
145,Charlton Athletic,1,['Bart-Williams'],Derby County,0,[]
146,Leicester City,1,['Izzet'],Arsenal,3,"['Bronckhorst', 'Henry', 'Wiltord']"
147,Manchester United,0,[],Liverpool,1,['Murphy']
148,Charlton Athletic,1,['Stuart'],Aston Villa,2,"['Vassell', 'Angel']"
149,Leeds United,1,['Fowler'],Arsenal,1,['Pires']
150,Chelsea,5,"['Hasselbaink', 'Gudjohnsen', 'Hasselbaink', 'Gudjohnsen', 'Forssell']",West Ham United,1,['Defoe']
151,Leicester City,0,[],Newcastle United,0,[]
152,Derby County,1,['Christie'],Ipswich Town,3,"['Bent', 'Peralta', 'Reuser']"
153,Middlesboro,1,['Whelan'],Bolton Wanderers,1,['Hansen']
154,Manchester United,2,"['Nistelrooy', 'Keane']",Blackburn Rovers,1,['Hignett']
155,Tottenham Hotspur,1,['Ferdinand'],Everton,1,['Weir']
156,Liverpool,1,['Owen'],Southampton,1,['Davies']
157,Sunderland,1,['Phillips'],Fulham,1,['Malbranque']
158,Arsenal,1,['Ljungberg'],Liverpool,1,['Riise']
159,Southampton,1,['Beattie'],Manchester United,3,"['Nistelrooy', 'Beckham', 'Solskjaer']"
160,West Ham United,1,['Canio'],Leicester City,0,[]
161,Bolton Wanderers,2,"['Ricketts', 'Nolan']",Chelsea,2,"['Gudjohnsen', 'Forssell']"
162,Blackburn Rovers,4,"['Tugay', 'Cole', 'Hignett', 'Jansen']",Charlton Athletic,1,['Euell']
163,Everton,1,['Blomqvist'],Sunderland,0,[]
164,Ipswich Town,2,"['Bent', 'McGreal']",Tottenham Hotspur,1,['Poyet']
165,Aston Villa,2,"['Vassell', 'Angel']",Derby County,1,['Powell']
166,Fulham,2,"['Saha', 'Marlet']",Middlesboro,1,['Cooper']
167,Manchester United,3,"['Nistelrooy', 'Scholes', 'Scholes']",Newcastle United,1,['Shearer']
168,Leeds United,3,"['Viduka', 'Viduka', 'Fowler']",West Ham United,0,[]
169,Tottenham Hotspur,1,['Richards'],Blackburn Rovers,0,[]
170,Liverpool,1,['Gerrard'],Bolton Wanderers,1,['Nolan']
171,Chelsea,2,"['Gudjohnsen', 'Hasselbaink']",Southampton,4,"['Beattie', 'Pahars', 'Marsden', 'Beattie']"
172,Sunderland,1,['Thome'],Aston Villa,1,['Taylor']
173,Middlesboro,1,['Festa'],Everton,0,[]
174,Charlton Athletic,3,"['Robinson', 'Parker', 'Euell']",Ipswich Town,2,"['Bent', 'Bent']"
175,Fulham,2,"['Legwinski', 'Marlet']",Manchester United,3,"['Giggs', 'Nistelrooy', 'Giggs']"
176,Ipswich Town,5,"['Armstrong', 'Gaardsoe', 'Armstrong', 'George', 'Clapham']",Sunderland,0,[]
177,Southampton,0,[],Leeds United,1,['Bowyer']
178,Aston Villa,1,['Angel'],Tottenham Hotspur,1,['Ferdinand']
179,Blackburn Rovers,0,[],Derby County,1,['Christie']
180,Newcastle United,1,['Shearer'],Chelsea,2,"['Gudjohnsen', 'Gudjohnsen']"
181,Arsenal,2,"['Pires', 'Cole']",Middlesboro,1,['Whelan']
182,Everton,0,[],Charlton Athletic,3,"['Stuart', 'Euell', 'Konchesky']"
183,West Ham United,1,['Sinclair'],Liverpool,1,['Owen']
184,Ipswich Town,2,"['Bent', 'Peralta']",Leicester City,0,[]
185,Aston Villa,1,['Hendrie'],Liverpool,2,"['Litmanen', 'Smicer']"
186,Blackburn Rovers,0,[],Sunderland,3,"['Quinn', 'Quinn', 'Kilbane']"
187,Newcastle United,3,"['Shearer', 'Speed', 'Bernard']",Middlesboro,0,[]
188,Everton,0,[],Manchester United,2,"['Giggs', 'Nistelrooy']"
189,Fulham,0,[],Charlton Athletic,0,[]
190,West Ham United,4,"['Schemmel', 'Canio', 'Sinclair', 'Defoe']",Derby County,0,[]
191,Bolton Wanderers,0,[],Leeds United,3,"['Fowler', 'Fowler', 'Fowler']"
192,Arsenal,2,"['Campbell', 'Wiltord']",Chelsea,1,['Lampard']
193,Southampton,1,['Beattie'],Tottenham Hotspur,0,[]
194,Liverpool,1,['Litmanen'],Arsenal,2,"['Henry', 'Ljungberg']"
195,Leicester City,1,['Izzet'],West Ham United,1,['Canio']
196,Charlton Athletic,0,[],Blackburn Rovers,2,"['Duff', 'Dunn']"
197,Tottenham Hotspur,1,['Davies'],Ipswich Town,2,"['George', 'Armstrong']"
198,Manchester United,6,"['Nistelrooy', 'Nistelrooy', 'Solskjaer', 'Nistelrooy', 'Keane', 'Neville']",Southampton,1,['Pahars']
199,Sunderland,1,['Reyna'],Everton,0,[]
200,Leeds United,3,"['Bowyer', 'Viduka', 'Harte']",Newcastle United,4,"['Bellamy', 'Elliott', 'Shearer', 'Solano']"
201,Derby County,3,"['Ravanelli', 'Carbone', 'Christie']",Aston Villa,1,['Angel']
202,Leeds United,3,"['Viduka', 'Fowler', 'Fowler']",Everton,2,"['Max-Moore', 'Weir']"
203,Arsenal,1,['Pires'],Newcastle United,3,"[""O'Brien"", 'Shearer', 'Robert']"
204,Aston Villa,2,"['Angel', 'Angel']",Ipswich Town,1,['George']
205,Chelsea,4,"['Saux', 'Hasselbaink', 'Bona', 'Gudjohnsen']",Liverpool,0,[]
206,Leeds United,2,"['Kewell', 'Viduka']",Leicester City,2,"['Deane', 'Scowcroft']"
207,Newcastle United,2,"['Bernard', 'Speed']",Blackburn Rovers,1,['Dunn']
208,Bolton Wanderers,0,[],Charlton Athletic,0,[]
209,Everton,1,['Max-Moore'],Derby County,0,[]
210,West Ham United,1,['Kanoute'],Arsenal,1,['Cole']
211,Middlesboro,0,[],Manchester United,1,['Nistelrooy']
212,Tottenham Hotspur,4,"['Ferdinand', 'Anderton', 'Davies', 'Rebrov']",Fulham,0,[]
213,Manchester United,5,"['Solskjaer', 'Keane', 'Solskjaer', 'Nistelrooy', 'Scholes']",Derby County,0,[]
214,Liverpool,0,[],Fulham,0,[]
215,Arsenal,3,"['Wiltord', 'Henry', 'Henry']",Aston Villa,2,"['Merson', 'Stone']"
216,Ipswich Town,0,[],Newcastle United,1,['Solano']
217,Sunderland,0,[],Chelsea,0,[]
218,Blackburn Rovers,1,['Berg'],Leeds United,2,"['Kewell', 'Kewell']"
219,Leicester City,0,[],Southampton,4,"['Svensson', 'Beattie', 'Svensson', 'Pahars']"
220,Derby County,1,['Christie'],Bolton Wanderers,0,[]
221,Charlton Athletic,3,"['Stuart', 'Lisbie', 'Lisbie']",Tottenham Hotspur,1,['Poyet']
222,Manchester United,0,[],West Ham United,1,['Defoe']
223,Fulham,2,"['Hayles', 'Hayles']",Everton,0,[]
224,Liverpool,2,"['Owen', 'Berger']",Middlesboro,0,[]
225,West Ham United,1,['Defoe'],Aston Villa,1,['Dublin']
226,Chelsea,0,[],Charlton Athletic,1,['Lisbie']
227,Tottenham Hotspur,3,"['Poyet', 'Ferdinand', 'Sheringham']",Bolton Wanderers,2,"['Ricketts', 'Wallace']"
228,Everton,2,"['Radzinski', 'Pembridge']",Southampton,0,[]
229,Fulham,0,[],Leeds United,0,[]
230,Aston Villa,0,[],Leicester City,2,"['Akinbiyi', 'Scowcroft']"
231,Charlton Athletic,1,['MacDonald'],Newcastle United,1,['Speed']
232,Sunderland,1,['Phillips'],West Ham United,0,[]
233,Derby County,0,[],Liverpool,1,['Owen']
234,Manchester United,0,[],Chelsea,3,"['Melchiot', 'Hasselbaink', 'Gudjohnsen']"
235,Blackburn Rovers,0,[],Middlesboro,1,['Boksic']
236,Ipswich Town,0,[],Arsenal,2,"['Ljungberg', 'Henry']"
237,Arsenal,3,"['Ljungberg', 'Henry', 'Henry']",Manchester United,1,['Scholes']
238,Leeds United,1,['Smith'],Aston Villa,1,['Kachloul']
239,Middlesboro,0,[],Ipswich Town,0,[]
240,Liverpool,1,['Heskey'],Sunderland,0,[]
241,Southampton,1,['Pahars'],Charlton Athletic,0,[]
242,Chelsea,0,[],Blackburn Rovers,0,[]
243,Bolton Wanderers,0,[],Fulham,0,[]
244,West Ham United,0,[],Tottenham Hotspur,1,['Ferdinand']
245,Leicester City,0,[],Everton,0,[]
246,Newcastle United,1,['Shearer'],Derby County,0,[]
247,Charlton Athletic,4,"['Euell', 'Euell', 'Johansson', 'Johansson']",West Ham United,4,"['Kitson', 'Kitson', 'Kitson', 'Defoe']"
248,Ipswich Town,1,['Holland'],Bolton Wanderers,2,"['Bergsson', 'Ricketts']"
249,Sunderland,2,"['Arca', 'Phillips']",Leeds United,0,[]
250,Everton,0,[],Chelsea,0,[]
251,Aston Villa,0,[],Middlesboro,0,[]
252,Manchester United,2,"['Nistelrooy', 'Yorke']",Leicester City,0,[]
253,Fulham,3,"['Saha', 'Legwinski', 'Hayles']",Newcastle United,1,['Speed']
254,Tottenham Hotspur,1,['Poyet'],Arsenal,1,['Pires']
255,Blackburn Rovers,1,['Jansen'],Liverpool,1,['Owen']
256,Derby County,1,['Mawene'],Southampton,0,[]
257,Chelsea,2,"['Zola', 'Bona']",Ipswich Town,1,['Stewart']
258,Leeds United,2,"['Harte', 'Kewell']",Tottenham Hotspur,1,['Poyet']
259,Liverpool,3,"['Owen', 'Riise', 'Owen']",Manchester United,1,['Beckham']
260,Southampton,1,['Pahars'],Blackburn Rovers,2,"['Tugay', 'Hignett']"
261,West Ham United,0,[],Fulham,2,"['Legwinski', 'Malbranque']"
262,Bolton Wanderers,2,"['Frandsen', 'Ricketts']",Everton,2,"['Stubbs', 'Gascoigne']"
263,Middlesboro,5,"['Nemeth', 'Marinelli', 'Boksic', 'Mustoe', 'Marinelli']",Derby County,1,['Ravanelli']
264,Newcastle United,3,"['Bellamy', 'Shearer', 'Bellamy']",Aston Villa,0,[]
265,Leicester City,1,['Akinbiyi'],Sunderland,0,[]
266,Blackburn Rovers,0,[],Leicester City,0,[]
267,Derby County,1,['Ravanelli'],Chelsea,1,['Hasselbaink']
268,Ipswich Town,2,"['Hreidarsson', 'Holland']",West Ham United,3,"['Canio', 'Kanoute', 'Defoe']"
269,Aston Villa,3,"['Angel', 'Vassell', 'Angel']",Bolton Wanderers,2,"['Ricketts', 'Ricketts']"
270,Charlton Athletic,0,[],Liverpool,2,"['Redknapp', 'Owen']"
271,Tottenham Hotspur,2,"['Sheringham', 'Ferdinand']",Middlesboro,1,['Boksic']
272,Everton,1,['Weir'],Newcastle United,3,"['Bellamy', 'Solano', 'Acuna']"
273,Fulham,2,"['Malbranque', 'Malbranque']",Southampton,1,['Beattie']
274,Sunderland,1,['Schwarz'],Arsenal,1,['Kanu']
275,Manchester United,1,['Solskjaer'],Leeds United,1,['Viduka']
276,Aston Villa,1,['Kachloul'],Charlton Athletic,0,[]
277,West Ham United,2,"['Carrick', 'Kanoute']",Chelsea,1,['Hasselbaink']
278,Southampton,3,"['Beattie', 'Pahars', 'Marsden']",Ipswich Town,3,"['Stewart', 'Venus', 'Stewart']"
279,Middlesboro,2,"['Queudrue', 'Boksic']",Sunderland,0,[]
280,Leeds United,0,[],Chelsea,0,[]
281,Newcastle United,0,[],Tottenham Hotspur,2,"['Anderton', 'Poyet']"
282,Fulham,1,['Hayles'],Ipswich Town,1,['Wright']
283,Derby County,1,['Ravanelli'],Charlton Athletic,1,['Euell']
284,Arsenal,3,"['Pires', 'Bergkamp', 'Henry']",Blackburn Rovers,3,"['Gillespie', 'Dunn', 'Dunn']"
285,Everton,3,"['Watson', 'Radzinski', 'Gravesen']",Aston Villa,2,"['Hadji', 'Schmeichel']"
286,West Ham United,2,"['Kanoute', 'Kanoute']",Southampton,0,[]
287,Leicester City,1,['Wise'],Liverpool,4,"['Fowler', 'Hyypia', 'Fowler', 'Fowler']"
288,Manchester United,1,['Veron'],Bolton Wanderers,2,"['Nolan', 'Ricketts']"
289,Tottenham Hotspur,3,"['Ferdinand', 'Ziege', 'Poyet']",Derby County,1,['Ravanelli']
290,Aston Villa,2,"['Vassell', 'Taylor']",Fulham,0,[]
291,Chelsea,2,"['Hasselbaink', 'Gudjohnsen']",Leicester City,0,[]
292,Southampton,0,[],Arsenal,2,"['Pires', 'Henry']"
293,Charlton Athletic,0,[],Middlesboro,0,[]
294,Ipswich Town,0,[],Everton,0,[]
295,Bolton Wanderers,0,[],Newcastle United,4,"['Solano', 'Robert', 'Shearer', 'Bellamy']"
296,Liverpool,1,['Murphy'],Leeds United,1,['Kewell']
297,Aston Villa,2,"['Angel', 'Vassell']",Blackburn Rovers,0,[]
298,Newcastle United,0,[],Liverpool,2,"['Riise', 'Murphy']"
299,Fulham,1,['Hayles'],Chelsea,1,['Hasselbaink']
300,Charlton Athletic,2,"['Johansson', 'Bartlett']",Leicester City,0,[]
301,Middlesboro,1,['Boksic'],Southampton,3,"['Beattie', 'Pahars', 'Beattie']"
302,Derby County,0,[],Arsenal,2,"['Henry', 'Henry']"
303,Bolton Wanderers,0,[],Sunderland,2,"['Phillips', 'Craddock']"
304,Tottenham Hotspur,3,"['Richards', 'Ferdinand', 'Ziege']",Manchester United,5,"['Cole', 'Blanc', 'Nistelrooy', 'Veron', 'Beckham']"
305,Newcastle United,1,['Solano'],Leicester City,0,[]
306,Southampton,1,['Pahars'],Aston Villa,3,"['Boateng', 'Angel', 'Hadji']"
307,West Ham United,3,"['Hutchison', 'Canio', 'Kanoute']",Newcastle United,0,[]
308,Chelsea,2,"['Hasselbaink', 'Hasselbaink']",Middlesboro,2,"['Stockdale', 'Boksic']"
309,Leeds United,3,"['Bakke', 'Kewell', 'Kewell']",Derby County,0,[]
310,Blackburn Rovers,1,['Grabbi'],Everton,0,[]
311,Manchester United,4,"['Johnsen', 'Solskjaer', 'Solskjaer', 'Cole']",Ipswich Town,0,[]
312,Leicester City,0,[],Fulham,0,[]
313,Arsenal,1,['Jeffers'],Bolton Wanderers,1,['Ricketts']
314,Liverpool,1,['Litmanen'],Tottenham Hotspur,0,[]
315,Sunderland,2,"['Quinn', 'Quinn']",Charlton Athletic,2,"['Bartlett', 'Brown']"
316,Blackburn Rovers,1,['Neill'],Bolton Wanderers,1,['Wallace']
317,Sunderland,1,['Phillips'],Tottenham Hotspur,2,"['Ziege', 'Sheringham']"
318,Leicester City,1,['Jones'],Middlesboro,2,"['Ince', 'Greening']"
319,Ipswich Town,1,['Armstrong'],Blackburn Rovers,1,['Jansen']
320,Derby County,2,"['Burton', 'Ravanelli']",Leicester City,3,"['Sturridge', 'Sturridge', 'Izzet']"
321,Tottenham Hotspur,2,"['Sheringham', 'Sheringham']",Chelsea,3,"['Hasselbaink', 'Hasselbaink', 'Desailly']"
322,Fulham,1,['Malbranque'],Arsenal,3,"['Ljungberg', 'Henry', 'Bergkamp']"
323,Charlton Athletic,0,[],Leeds United,2,"['Keane', 'Mills']"
324,Everton,1,['Campbell'],Liverpool,3,"['Gerrard', 'Owen', 'Riise']"
325,Middlesboro,2,"['Deane', 'Johnston']",West Ham United,0,[]
326,Bolton Wanderers,0,[],Southampton,1,['Pahars']
327,Aston Villa,0,[],Sunderland,0,[]
328,Leicester City,1,['Sturridge'],Ipswich Town,1,['Stewart']
329,Chelsea,1,['Hasselbaink'],Arsenal,1,['Henry']
330,Sunderland,1,['Quinn'],Blackburn Rovers,0,[]
331,Manchester United,4,"['Veron', 'Cole', 'Fortune', 'Beckham']",Everton,1,['Campbell']
332,Middlesboro,1,['Cooper'],Newcastle United,4,"['Shearer', 'Dabizas', 'Robert', 'Shearer']"
333,Leeds United,0,[],Bolton Wanderers,0,[]
334,Liverpool,1,['Gerrard'],Aston Villa,3,"['Dublin', 'Hendrie', 'Vassell']"
335,Derby County,0,[],West Ham United,0,[]
336,Tottenham Hotspur,2,"['Ziege', 'Davies']",Southampton,0,[]
337,Bolton Wanderers,2,"['Ricketts', 'Holdsworth']",Liverpool,1,['Heskey']
338,Newcastle United,1,['Bellamy'],Sunderland,1,['Phillips']
339,West Ham United,0,[],Leeds United,0,[]
