,home_team,home_score,home_scorers,away_team,away_score,away_scorers
4339,Arsenal,4,"['Giroud', 'Giroud', 'Giroud', 'Cazorla']",Sunderland,1,['Giaccherini']
4340,Crystal Palace,0,[],Manchester United,2,"['Persie', 'Evra']"
4341,Chelsea,1,['Lampard'],Everton,0,[]
4342,West Bromwich Albion,1,['Anichebe'],Fulham,1,['Richardson']
4343,Cardiff City,0,[],Hull City,4,"['Livermore', 'Long', 'Rosenior', 'Mohamady']"
4344,Newcastle United,0,[],Tottenham Hotspur,4,"['Adebayor', 'Paulinho', 'Adebayor', 'Bentaleb']"
4345,West Ham United,2,"['Diame', 'Noble']",Norwich City,0,[]
4346,Cardiff City,0,[],Aston Villa,0,[]
4347,West Bromwich Albion,1,['Berahino'],Chelsea,1,['Luiz']
4348,Manchester United,2,"['Mata', 'Carrick']",Fulham,2,"['Holtby', 'Bent']"
4349,Crystal Palace,3,"['Bolasie', 'Ince', 'Chamakh']",West Bromwich Albion,1,['Anichebe']
4350,Norwich City,0,[],Manchester City,0,[]
4351,Sunderland,0,[],Hull City,2,"['Livermore', 'Jelavic']"
